Star,Star id,Const-area,Object name,gaia id,Var?,Var type,COORDS J200 (RA DEC),AAVSO link
star1,1,Tuc-SMC,NSV 15280,Gaia DR3 4686125674345271424,sus,None,01 17 57.40 -74 09 13.0,https://vsx.aavso.org/index.php?view=detail.top&oid=53715
star2,2,Lup,NSV 20490,Gaia DR3 6036110002311228160,sus,BCEPS,16 04 17.80 -33 12 49.0,https://vsx.aavso.org/index.php?view=detail.top&oid=58925
star3,3,Tuc,NSV 14136,Gaia DR3 6407715928569963008,sus,,22 23 27.10 -60 28 32.0,https://vsx.aavso.org/index.php?view=detail.top&oid=52760
star4,4,Tuc,Gaia DR3 4685832478414732800,Gaia DR3 4685832478414732800,yes,CEP,00 47 01.37 -73 26 46.2,https://vsx.aavso.org/index.php?view=detail.top&oid=2624479
star5,5,Sco,Gaia DR3 4053253786490495744,Gaia DR3 4053253786490495744,yes,BCEP,17 37 57.43 -35 18 05.5,https://vsx.aavso.org/index.php?view=detail.top&oid=9243274
star6,6,Sco,Gaia DR3 4053273685157496064,Gaia DR3 4053273685157496064,yes,BCEP,17 37 37.51 -35 01 42.4,https://vsx.aavso.org/index.php?view=detail.top&oid=6522083
star7,7,Tuc,NSV 334,Gaia DR3 4691995692046507520,sus,,00 52 24.52 -69 30 13.6,https://vsx.aavso.org/index.php?view=detail.top&oid=38958
star8,8,Sgr,NSV 12943,Gaia DR3 6692565718782772480,sus,RR,20 15 51.40 -40 26 40.0,https://vsx.aavso.org/index.php?view=detail.top&oid=51567
star9,9,Lup,Gaia DR3 6098713338227827584,Gaia DR3 6098713338227827584,yes,BCEP,14 45 23.44 -44 21 20.5,https://vsx.aavso.org/index.php?view=detail.top&oid=5400272
star10,10,Dor,LMC V2588,??,yes,CEP,05 26 33.78 -66 23 12.8,https://vsx.aavso.org/index.php?view=detail.top&oid=2219224
star11,11,Sgr,Gaia DR3 4045259615402049920,Gaia DR3 4045259615402049920,yes,BCEP,18 29 36.23 -32 13 30.0,https://vsx.aavso.org/index.php?view=detail.top&oid=7011243
star12,12,Sgr,Gaia DR3 6870452273367422080,Gaia DR3 6870452273367422080,yes,BCEP,19 56 40.48 -17 55 17.1,https://vsx.aavso.org/index.php?view=detail.top&oid=7602456
star13,13,Dor-LMC,Gaia DR3 4660554298082052864,Gaia DR3 4660554298082052864,yes,BCEP,05 21 41.04 -65 52 07.2,https://vsx.aavso.org/index.php?view=detail.top&oid=4245505
star14,14,Sco,Gaia DR3 5959309664916881024,Gaia DR3 5959309664916881024,yes,CEP,17 33 25.28 -40 56 28.3,https://vsx.aavso.org/index.php?view=detail.top&oid=6478757
